subj,repeated_arrow,repeated_no arrow,random_arrow,random_no arrow
01,2157.049411764706,3307.6027777777776,2919.2705882352943,2467.464411764706
02,1848.6248648648648,1600.9675,1508.0992307692309,2171.769117647059
03,1558.8981578947369,1830.26,1871.0017500000001,1795.5213888888889
04,1846.114210526316,1817.5738888888889,2291.581818181818,2179.5259375
05,1952.4230555555555,1468.8594871794871,1876.9688888888888,1995.564
06,1757.8500000000001,2034.5241666666666,1711.134090909091,2026.429090909091
07,974.812894736842,916.4448717948718,1394.83225,1385.453157894737
08,1652.2148717948717,1495.4919444444445,1696.5738888888889,1774.5685294117648
09,1663.179,1431.86025,1611.7135135135136,1854.0456756756757
10,1595.8084210526315,1660.3223076923077,1664.4732432432434,1807.2847368421053
11,1424.5643243243244,1523.2464102564102,1758.1481578947369,1753.7118421052633
12,2507.025,2698.048717948718,3006.786111111111,2674.3212121212123
14,1704.7238461538461,1659.0297435897437,1989.062894736842,1938.4335897435897
15,2077.9282051282053,1705.34125,1993.33175,2208.742105263158
16,1842.1454054054054,1696.9560000000001,1890.2086486486487,2148.1402857142857
17,1447.6755263157895,1182.7552631578947,1335.4005128205129,1578.5708333333334
18,1269.46275,1335.1934210526315,1559.7305263157896,1547.0218421052632
19,2279.0763157894735,2271.4470588235295,2478.015789473684,2320.0184210526318
20,1553.8351282051283,1686.2521052631578,1888.01925,1758.8983783783783
21,1936.4717948717948,1995.66675,2127.826470588235,1958.4283333333333
22,2711.5157894736844,2552.2815789473684,2219.134324324324,2678.4897435897437
23,1406.3827777777778,1421.194054054054,1670.6718421052633,1562.91
24,2698.552105263158,2965.9587096774194,2907.6885714285713,2474.9769444444446
25,1706.8228205128205,1506.4182352941177,1538.4425714285715,1794.38
26,1621.94825,1306.52025,1763.4186842105264,1826.9535135135136
27,1553.543,1712.6984615384615,1703.1692105263157,1768.36
28,1209.4964102564102,1074.7266666666667,1275.4257894736843,1286.741
29,1603.38325,1312.9002631578946,2145.0635,1984.0292105263159
30,2347.2078947368423,2311.694736842105,2629.496,2483.1833333333334
31,1346.59025,1794.83625,1843.4964102564102,1604.1828205128206
32,1332.9027027027028,1280.8484210526315,1249.4502631578948,1587.0882857142858
33,1559.7451282051281,1439.6046153846155,2094.304864864865,1701.1756756756756
34,1857.0334210526316,1464.7336842105262,2147.4274285714287,1617.2121875
35,2064.604358974359,2161.833947368421,2259.2710256410255,2230.661282051282
