subj,mean_RT,mean_Acc,num_TO,num_trials,repeated_arrow_1,repeated_arrow_2,repeated_arrow_3,repeated_arrow_4,repeated_arrow_5,repeated_arrow_6,repeated_arrow_7,repeated_arrow_8,repeated_arrow_9,repeated_arrow_10,repeated_no arrow_1,repeated_no arrow_2,repeated_no arrow_3,repeated_no arrow_4,repeated_no arrow_5,repeated_no arrow_6,repeated_no arrow_7,repeated_no arrow_8,repeated_no arrow_9,repeated_no arrow_10,random_arrow_1,random_arrow_2,random_arrow_3,random_arrow_4,random_arrow_5,random_arrow_6,random_arrow_7,random_arrow_8,random_arrow_9,random_arrow_10,random_no arrow_1,random_no arrow_2,random_no arrow_3,random_no arrow_4,random_no arrow_5,random_no arrow_6,random_no arrow_7,random_no arrow_8,random_no arrow_9,random_no arrow_10
01,3193.87484375,0.94375,18,320,2974.0833333333335,1944.2125,2036.3,1846.2875,2057.0857142857144,1950.7428571428572,2536.025,2699.75,1760.64,1812.2166666666667,3459.2625,3621.6,2680.3375,2884.7571428571428,3408.6875,3282.6,3266.575,3632.6375,3403.1,2846.6833333333334,3319.483333333333,1578.0125,2206.7,2299.9875,2425.1285714285714,2742.5125,2482.2333333333336,2579.35,2803.5142857142855,3903,2733.9,3672.666666666667,3162.0375,3730.042857142857,3061.775,2714.75,2654.0514285714285,2581.633333333333,2538.9857142857145,1970.52875
02,1913.9288125,0.99375,2,320,1267.8225,1546.67,1449.74125,1252.0275,1152.4125,2186.5857142857144,2112.328571428571,1749.52875,1417.1585714285713,1798.7975000000001,2229.8,2106.68625,1504.2142857142858,2631.3,1555.8,1937.79625,1791.0275,1540.98375,1264.95625,1470.07375,1211.2025,1098.43125,1463.5625,1458.81375,1885.8674999999998,1391.8125,1557.8162499999999,1743.10125,1414.9271428571428,1421.1925,2140.35,1989.1625,2399.5833333333335,2626,2228.05,1780.9166666666667,2482.942857142857,2168.342857142857,2228.1285714285714,2142.6785714285716
03,2081.9835625,0.98125,6,320,1936.36375,1680.87,1244.65625,1443.30625,1486.12,1863.6857142857143,1542.327142857143,1744.485,1277.59125,1402.42875,2624.828571428571,1790.8857142857144,1985.4375,1778.1142857142856,2304.4,1890.13375,2003.95,1459.5425,1585.39875,2212.275,1933.4714285714285,1547.787142857143,1115.91,1157.7885714285715,1360.18375,1779.675,2177.3962500000002,1573.7125,1821.5125,2002.7125,2990.7833333333333,2208.2571428571428,1961.2666666666669,1683.5714285714284,1843.16,1601.9266666666667,1832.9375,2190.7585714285715,1590.7485714285715,1736.645
04,2611.44503125,0.946875,17,320,2500.0875,2446.3957142857143,1087.8016666666667,1578.9175,1328.14375,1834.1828571428573,1532.8228571428572,1891.0125,2591.1475,1340.7525,2860.0125000000003,2684.2983333333336,2125.9875,1950.2833333333333,2271.2875,2082.8,2118.384285714286,1856.1657142857143,1632.6857142857143,1450.30125,2418.05,2609.06,1885.2024999999999,1669.895,1538.8142857142857,1833.3,2996.714285714286,2613.0375,2145.7166666666667,1644.4666666666667,2740.225,2472.28375,1930.3428571428572,2371.45,2831.64,2428.52,1785.2842857142857,2476.8142857142857,1756.0514285714287,2579.1966666666667
05,2057.4495625,0.984375,5,320,1333.29,1562.27625,1614.5674999999999,840.01125,908.85,2100.633333333333,2375.2433333333333,1873.0037499999999,1921.805,1634.1875,2559.8875,1942.525,2075.0166666666664,1675.76,1663.28125,1219.24875,1493.31125,1642.3325,1485.22625,1509.2242857142858,1976.4285714285716,1448.47,1793.1571428571428,1614.965,1512.3,2135.34,1520.2757142857142,1815.9475,2180.18,1668.7583333333334,3196.2625,1819.4166666666667,3082.9500000000003,2262.2125,2074.957142857143,1832.20875,1935.3,1862.5875,1563.38625,2784.3375
06,2187.13575,0.975,8,320,2438.6366666666668,2421.725,2131.918,671.296,905.9383333333334,1942.3033333333333,1574.465,1986.3380000000002,2048.5,1275.725,3520.7999999999997,3453.0333333333333,2246.84,1099.7525,2046.7224999999999,3510.2,650.425,1966.3642857142859,2751.6839999999997,1634.662,2606.828571428571,2947.75,1264.21,1461.685,1080.67,2518.625,626.7674999999999,2253.618,1427.3433333333332,1743.7433333333333,2874.7200000000003,3433.7599999999998,2276.091428571429,2100.648333333333,988.875,2633.12,484.47,1451.178,1951.8899999999999,2205.8
07,1334.24878125,1,0,320,1242.6033333333332,1352.925,910.9200000000001,967.0257142857142,872.9328571428572,943.0857142857143,997.49375,1056.75125,875.32,985.01125,2123.7971428571427,1468.14875,1363.47875,1535.3899999999999,1104.7325,887.73875,974.70875,1010.28875,915.0785714285714,794.23875,1871.36,1122.325,1406.3975,1268.46125,1082.675,1523.38625,1073.69875,1349.8325,1573.03,1454.21375,1854.4625,1613.8042857142857,1204.5883333333334,1291.7125,1684.7375,1558.7350000000001,1510.38875,1249.0675,1075.7975,1582.5516666666667
08,2303.63759375,0.971875,9,320,2809.0666666666666,1982.03,1833.29,1316.13,1381.98375,1892.69875,1681.0885714285714,1452.6575,1551.35,1686.88875,4302.933333333333,2181.9733333333334,3094.0750000000003,1988.4666666666667,1581.6685714285716,1835.45125,1435.2150000000001,1346.8385714285714,1495.93625,1306.7785714285715,2399.842857142857,2524.325,2205.825,1569.55625,1447.0733333333333,2201.96,1865.0928571428572,1383.28875,1734.74,1449.97,2649.5750000000003,1786.9,3613.1,2244.5,1975.5957142857142,2345.1000000000004,1986.935,1684.0283333333332,1335.04375,1704.2614285714285
09,1718.539875,0.990625,3,320,1156.59125,1199.1825,1173.96,1088.96,1127.69875,1548.0475,2009.6325,1416.4525,1548.5125,1793.25,2009.2,1958.8125,1621.4875,1822.58125,1612.12875,1704.52375,1431.61375,1317.2675,1378.22625,1327.67,1219.71125,1268.3625,1083.0675,974.69125,1044.44,1753.4466666666667,1424.81625,1584.85875,1717.8325,1613.2371428571428,2132.016666666667,1918.7571428571428,2092.6857142857143,2213.875,1552.042857142857,2087.4125,2038.375,1389.6816666666666,1806.9714285714285,1825.8125
10,1947.121625,0.98125,6,320,1695.5375,1462.7214285714285,1544.0275,1560.7,1358.597142857143,1351.1057142857144,1279.5475000000001,2184.2428571428572,1681.3875,1525.725,2915.213333333333,1922.1625,1853.2857142857142,1854.635,2007.825,1580.1642857142858,1740.41875,1850.9375,1649.78375,1470.2875,1425.94125,1147.40625,1364.30625,1391.2475,1479.6425,1748.9525,1495.1100000000001,1338.545,2058.4,1715.8514285714286,2096.22,2013.725,2236.5314285714285,1874.8714285714286,1589.4942857142858,1503.11375,1731.557142857143,2254.8275,1727.9357142857143,1799.605
