pID,condition,time,avg_time
1,control,3,3.33
1,compatible,3,3.33
1,incompatible,4,3.33
2,control,3,4.33
2,compatible,4,4.33
2,incompatible,6,4.33
3,control,5.29,5.54
3,compatible,4.81,5.54
3,incompatible,6.53,5.54
4,control,3,2.67
4,compatible,2,2.67
4,incompatible,3,2.67
5,control,7,7
5,compatible,5,7
5,incompatible,9,7
6,control,4.8,5.25
6,compatible,4.36,5.25
6,incompatible,6.6,5.25
7,control,5.17,4.48
7,compatible,3.74,4.48
7,incompatible,4.53,4.48
8,control,5,4.97
8,compatible,3.3,4.97
8,incompatible,6.6,4.97
9,control,4.6,4.76
9,compatible,4.3,4.76
9,incompatible,5.37,4.76
10,control,7,8.77
10,compatible,6.96,8.77
10,incompatible,12.36,8.77
11,control,3.58,3.75
11,compatible,2.42,3.75
11,incompatible,5.26,3.75
12,control,4,4.33
12,compatible,3,4.33
12,incompatible,6,4.33
13,control,5.68,5.74
13,compatible,5.71,5.74
13,incompatible,5.82,5.74
14,control,5,4.33
14,compatible,3,4.33
14,incompatible,5,4.33
15,control,6,6
15,compatible,4,6
15,incompatible,8,6
16,control,4.4,5.05
16,compatible,4.36,5.05
16,incompatible,6.39,5.05
17,control,6.7,6.67
17,compatible,5.3,6.67
17,incompatible,8,6.67
18,control,3.29,3.42
18,compatible,2.97,3.42
18,incompatible,4,3.42
19,control,5.13,4.97
19,compatible,3.3,4.97
19,incompatible,6.49,4.97
20,control,4.88,4.6
20,compatible,3.15,4.6
20,incompatible,5.78,4.6
21,control,6,5.67
21,compatible,4,5.67
21,incompatible,7,5.67
22,control,6,5.67
22,compatible,4,5.67
22,incompatible,7,5.67
23,control,4.91,4.37
23,compatible,3.62,4.37
23,incompatible,4.57,4.37
24,control,6,6
24,compatible,5,6
24,incompatible,7,6
25,control,6,6
25,compatible,5,6
25,incompatible,7,6
26,control,6,5.63
26,compatible,4.1,5.63
26,incompatible,6.8,5.63
27,control,6,6
27,compatible,4,6
27,incompatible,8,6
28,control,5.28,4.73
28,compatible,2.91,4.73
28,incompatible,5.99,4.73
29,control,6,6.33
29,compatible,3,6.33
29,incompatible,10,6.33
30,control,6,5.67
30,compatible,4,5.67
30,incompatible,7,5.67
31,control,3,4
31,compatible,4,4
31,incompatible,5,4
32,control,6,6.33
32,compatible,4,6.33
32,incompatible,9,6.33
33,control,4.33,4
33,compatible,3.38,4
33,incompatible,4.29,4
34,control,5.04,6.3
34,compatible,4.5,6.3
34,incompatible,9.35,6.3
35,control,4.59,5.36
35,compatible,3.04,5.36
35,incompatible,8.45,5.36
36,control,5,5
36,compatible,3,5
36,incompatible,7,5
37,control,7.5,7.17
37,compatible,4,7.17
37,incompatible,10,7.17
38,control,4.2,4.38
38,compatible,2.63,4.38
38,incompatible,6.3,4.38
39,control,4.83,4.24
39,compatible,2.9,4.24
39,incompatible,5,4.24
40,control,5.04,6.42
40,compatible,4.5,6.42
40,incompatible,9.73,6.42
41,control,4.92,4.44
41,compatible,3.07,4.44
41,incompatible,5.32,4.44
42,control,10,10.67
42,compatible,7,10.67
42,incompatible,15,10.67
43,control,7,6
43,compatible,4,6
43,incompatible,7,6
44,control,5.03,6.29
44,compatible,4.5,6.29
44,incompatible,9.34,6.29
45,control,4.55,5
45,compatible,3.28,5
45,incompatible,7.17,5
46,control,3.18,3.55
46,compatible,2.56,3.55
46,incompatible,4.91,3.55
47,control,5.76,4.86
47,compatible,3.25,4.86
47,incompatible,5.58,4.86
48,control,4.87,5.27
48,compatible,3.93,5.27
48,incompatible,7,5.27
49,control,4.1,5.61
49,compatible,3.95,5.61
49,incompatible,8.78,5.61
50,control,5.23,4.63
50,compatible,3.48,4.63
50,incompatible,5.17,4.63
51,control,7.07,7.75
51,compatible,5.12,7.75
51,incompatible,11.05,7.75
52,control,4.3,5.5
52,compatible,4.2,5.5
52,incompatible,8,5.5
53,control,5,5.67
53,compatible,5,5.67
53,incompatible,7,5.67
54,control,8,8
54,compatible,5,8
54,incompatible,11,8
55,control,7.76,8.12
55,compatible,6.71,8.12
55,incompatible,9.89,8.12
56,control,7.07,6.94
56,compatible,5.57,6.94
56,incompatible,8.17,6.94
57,control,6.8,6.23
57,compatible,4,6.23
57,incompatible,7.9,6.23
58,control,5,4.67
58,compatible,4,4.67
58,incompatible,5,4.67
59,control,6.89,7.25
59,compatible,5.73,7.25
59,incompatible,9.14,7.25
60,control,4,5.2
60,compatible,4.26,5.2
60,incompatible,7.33,5.2
61,control,3.98,3.82
61,compatible,2.86,3.82
61,incompatible,4.63,3.82
62,control,30,36.67
62,compatible,15,36.67
62,incompatible,65,36.67
63,control,11.53,9.82
63,compatible,8.92,9.82
63,incompatible,9,9.82
64,control,5.17,5.31
64,compatible,5.12,5.31
64,incompatible,5.65,5.31
65,control,10,13
65,compatible,14,13
65,incompatible,15,13
66,control,6.61,7.62
66,compatible,7.37,7.62
66,incompatible,8.87,7.62
67,control,5.43,5.87
67,compatible,5.9,5.87
67,incompatible,6.28,5.87
68,control,11,7.33
68,compatible,5,7.33
68,incompatible,6,7.33
69,control,4,4.33
69,compatible,3,4.33
69,incompatible,6,4.33
70,control,5.1,4.85
70,compatible,2.85,4.85
70,incompatible,6.6,4.85
71,control,7.89,8.28
71,compatible,7.29,8.28
71,incompatible,9.65,8.28
72,control,7,7.53
72,compatible,6.6,7.53
72,incompatible,9,7.53
73,control,7,6
73,compatible,3,6
73,incompatible,8,6
74,control,8,6.67
74,compatible,3,6.67
74,incompatible,9,6.67
75,control,5,5.33
75,compatible,5,5.33
75,incompatible,6,5.33
76,control,5.97,4.9
76,compatible,3.28,4.9
76,incompatible,5.44,4.9
77,control,8,7.67
77,compatible,4,7.67
77,incompatible,11,7.67
78,control,6.5,6.8
78,compatible,2.86,6.8
78,incompatible,11.03,6.8
79,control,9.15,8.17
79,compatible,5.17,8.17
79,incompatible,10.18,8.17
80,control,6.55,6.29
80,compatible,5.84,6.29
80,incompatible,6.48,6.29
81,control,7.2,7.02
81,compatible,5.36,7.02
81,incompatible,8.51,7.02
82,control,6.33,6.34
82,compatible,4.25,6.34
82,incompatible,8.45,6.34
83,control,4.22,4.02
83,compatible,3.27,4.02
83,incompatible,4.57,4.02
84,control,4,4
84,compatible,3,4
84,incompatible,5,4
85,control,3.88,4.48
85,compatible,3.24,4.48
85,incompatible,6.32,4.48
86,control,15,15
86,compatible,15,15
86,incompatible,15,15
87,control,12,11.67
87,compatible,8,11.67
87,incompatible,15,11.67
88,control,7,7
88,compatible,5,7
88,incompatible,9,7
89,control,7.4,7.27
89,compatible,5.1,7.27
89,incompatible,9.3,7.27
90,control,5,4.67
90,compatible,3,4.67
90,incompatible,6,4.67
91,control,6.29,6.51
91,compatible,5.01,6.51
91,incompatible,8.22,6.51
92,control,3.9,4.83
92,compatible,4.39,4.83
92,incompatible,6.21,4.83
93,control,6.38,5.72
93,compatible,4.54,5.72
93,incompatible,6.25,5.72
94,control,6.96,9.05
94,compatible,7.55,9.05
94,incompatible,12.63,9.05
95,control,5,5.33
95,compatible,4,5.33
95,incompatible,7,5.33
96,control,7,7.67
96,compatible,6,7.67
96,incompatible,10,7.67
97,control,4.6,4.53
97,compatible,3.4,4.53
97,incompatible,5.6,4.53
98,control,5.4,5.45
98,compatible,4.7,5.45
98,incompatible,6.24,5.45
99,control,3.45,3.85
99,compatible,2.9,3.85
99,incompatible,5.2,3.85
100,control,5.2,5.3
100,compatible,4.8,5.3
100,incompatible,5.9,5.3
101,control,4.92,4.71
101,compatible,3.16,4.71
101,incompatible,6.06,4.71
102,control,6,5.67
102,compatible,4,5.67
102,incompatible,7,5.67
103,control,4.69,5.13
103,compatible,4.29,5.13
103,incompatible,6.4,5.13
104,control,5.06,5.42
104,compatible,4.16,5.42
104,incompatible,7.04,5.42
105,control,2.6,3.33
105,compatible,2.8,3.33
105,incompatible,4.6,3.33
106,control,4.97,4.3
106,compatible,3.31,4.3
106,incompatible,4.62,4.3
107,control,5.68,5.88
107,compatible,3.21,5.88
107,incompatible,8.75,5.88
108,control,4.42,4.46
108,compatible,3.99,4.46
108,incompatible,4.96,4.46
109,control,7,6
109,compatible,5,6
109,incompatible,6,6
110,control,5,5.33
110,compatible,3,5.33
110,incompatible,8,5.33
111,control,5,5.67
111,compatible,5,5.67
111,incompatible,7,5.67
112,control,3,3.33
112,compatible,3,3.33
112,incompatible,4,3.33
113,control,2.9,3.77
113,compatible,2.66,3.77
113,incompatible,5.75,3.77
114,control,8,7.67
114,compatible,5,7.67
114,incompatible,10,7.67
115,control,7,7
115,compatible,4,7
115,incompatible,10,7
116,control,3,3.67
116,compatible,3,3.67
116,incompatible,5,3.67
117,control,5,4.67
117,compatible,4,4.67
117,incompatible,5,4.67
118,control,3,3.33
118,compatible,3,3.33
118,incompatible,4,3.33
119,control,8.8,8.93
119,compatible,4.59,8.93
119,incompatible,13.4,8.93
120,control,5.36,5.99
